Name,League,Year,Club,Matches Played,Starts,Minutes,Goals,Assists,Penalty Goals,Penalty Attempts,xGoals,non-penalty xGoals,xAssists
Adam Marušić,2013-2014,1. SuperLiga,Voždovac,27,24,"2,116",6,2,0,0,,,
Adam Marušić,2014-2015,1. Pro League,Kortrijk,34,27,"2,385",6,3,0,0,,,
Adam Marušić,2015-2016,1. Pro League,Kortrijk,35,31,"2,833",4,0,1,1,,,
Adam Marušić,2016-2017,1. First Division A,Oostende,35,33,"2,999",5,4,0,0,,,
Adam Marušić,2017-2018,1. Serie A,Lazio,32,28,"2,523",3,4,0,0,3.1,3.1,3.3
Adam Marušić,2018-2019,1. Serie A,Lazio,26,24,"2,111",1,1,0,0,1.0,1.0,1.3
Adam Marušić,2019-2020,1. Serie A,Lazio,15,10,942,2,1,0,0,1.9,1.9,0.6
Adam Marušić,2020-2021,1. Serie A,Lazio,36,33,"2,966",2,3,0,0,2.2,2.2,2.2
Adam Marušić,2021-2022,1. Serie A,Lazio,33,30,"2,721",1,0,0,0,0.2,0.2,0.5
Adam Marušić,2022-2023,1. Serie A,Lazio,33,31,"2,760",0,2,0,0,0.7,0.7,1.1
Adam Marušić,2023-2024,1. Serie A,Lazio,37,37,"3,100",1,0,0,0,0.4,0.4,0.8
Adam Marušić,2024-2025,1. Serie A,Lazio,13,6,671,0,0,0,0,0.1,0.1,0.1
Adam Ounas,2015-2016,1. Ligue 1,Bordeaux,23,15,"1,311",5,2,0,0,,,
Adam Ounas,2016-2017,1. Ligue 1,Bordeaux,26,11,"1,224",3,2,1,1,,,
Adam Ounas,2017-2018,1. Serie A,Napoli,7,0,96,0,0,0,0,0.2,0.2,0.3
Adam Ounas,2018-2019,1. Serie A,Napoli,18,6,538,3,0,0,0,1.4,1.4,1.9
Adam Ounas,2019-2020,1. Ligue 1,Nice,16,14,"1,123",2,4,0,0,2.0,2.0,3.3
Adam Ounas,2020-2021,1. Serie A,Crotone,15,15,"1,199",4,4,0,0,2.3,2.3,2.9
Adam Ounas,2020-2021,1. Serie A,Cagliari,7,3,308,0,0,0,0,0.9,0.9,0.9
Adam Ounas,2021-2022,1. Serie A,Napoli,15,1,326,0,0,0,0,0.7,0.7,0.8
Adam Ounas,2022-2023,1. Serie A,Napoli,2,0,15,0,0,0,0,0.0,0.0,0.0
Adam Ounas,2022-2023,1. Ligue 1,Lille,21,12,"1,064",1,1,0,0,2.3,2.3,2.8
Adam Ounas,2023-2024,1. Ligue 1,Lille,17,3,418,1,0,0,0,0.6,0.6,1.9
Adem Ljajić,2008-2009,1. SuperLiga,Partizan,24,15,"1,466",5,4,0,0,,,
Adem Ljajić,2009-2010,1. SuperLiga,Partizan,14,11,"1,018",4,1,0,0,,,
Adem Ljajić,2009-2010,1. Serie A,Fiorentina,9,3,367,0,1,0,0,,,
Adem Ljajić,2010-2011,1. Serie A,Fiorentina,26,14,"1,380",3,4,2,2,,,
Adem Ljajić,2011-2012,1. Serie A,Fiorentina,15,9,652,1,1,0,0,,,
Adem Ljajić,2012-2013,1. Serie A,Fiorentina,28,21,"1,612",11,6,1,1,,,
Adem Ljajić,2013-2014,1. Serie A,Roma,28,17,"1,625",6,5,1,1,,,
Adem Ljajić,2014-2015,1. Serie A,Roma,32,23,"2,016",8,2,1,1,,,
Adem Ljajić,2015-2016,1. Serie A,Roma,1,0,2,0,0,0,0,,,
Adem Ljajić,2015-2016,1. Serie A,Inter,25,16,"1,444",3,3,0,0,,,
Adem Ljajić,2016-2017,1. Serie A,Torino,33,30,"2,513",10,8,1,1,,,
Adem Ljajić,2017-2018,1. Serie A,Torino,27,23,"2,166",6,10,0,0,4.3,4.2,8.4
Adem Ljajić,2018-2019,1. Serie A,Torino,1,0,30,0,0,0,0,0.1,0.1,0.0
Adem Ljajić,2018-2019,1. Süper Lig,Beşiktaş,27,25,"2,223",9,11,2,2,,,
Adem Ljajić,2019-2020,1. Süper Lig,Beşiktaş,24,17,"1,593",5,6,0,0,,,
Adem Ljajić,2020-2021,1. Süper Lig,Beşiktaş,22,14,"1,095",2,3,0,0,,,
Adem Ljajić,2021-2022,1. Süper Lig,Beşiktaş,0,0,,,,,,,,
Adem Ljajić,2022-2023,1. Süper Lig,Fatih Karagümrük,9,0,104,0,1,0,0,,,
Adem Ljajić,2023-2024,1. Süper Lig,Fatih Karagümrük,2,1,83,0,0,0,0,,,
Adem Ljajić,2023-2024,1. SuperLiga,Novi Pazar,24,20,"1,674",9,5,4,4,,,
Adem Ljajić,2024-2025,1. SuperLiga,Novi Pazar,16,16,"1,385",6,6,1,1,,,
Afriyie Acquah,2010-2011,1. Serie A,Palermo,11,3,434,0,0,0,0,,,
Afriyie Acquah,2011-2012,1. Serie A,Palermo,20,10,985,0,0,0,0,,,
Afriyie Acquah,2012-2013,1. Serie A,Parma,13,4,540,0,0,0,0,,,
Afriyie Acquah,2013-2014,1. Serie A,Parma,27,19,"1,787",1,2,0,0,,,
Afriyie Acquah,2014-2015,1. Serie A,Parma,14,12,"1,119",0,0,0,0,,,
Afriyie Acquah,2014-2015,1. Serie A,Sampdoria,10,10,713,1,0,0,0,,,
Afriyie Acquah,2015-2016,1. Serie A,Torino,29,22,"1,888",2,3,0,0,,,
Afriyie Acquah,2016-2017,1. Serie A,Torino,20,13,"1,077",2,0,0,0,,,
Afriyie Acquah,2017-2018,1. Serie A,Torino,22,9,951,1,0,0,0,0.4,0.4,0.6
Afriyie Acquah,2018-2019,1. Serie A,Empoli,28,19,"1,510",2,0,0,0,1.4,1.4,0.8
Afriyie Acquah,2019-2020,1. Süper Lig,Yeni Mal'spor,27,25,"2,208",1,3,0,0,,,
Afriyie Acquah,2020-2021,1. Süper Lig,Yeni Mal'spor,33,30,"2,457",2,0,0,0,,,
Afriyie Acquah,2021-2022,1. Pro League,Al-Batin,8,7,531,0,0,0,0,,,
Aleksandar Kolarov,2007-2008,1. Serie A,Lazio,24,17,"1,489",1,1,0,0,,,
Aleksandar Kolarov,2008-2009,1. Serie A,Lazio,25,22,"1,963",2,2,0,0,,,
Aleksandar Kolarov,2009-2010,1. Serie A,Lazio,33,33,"2,925",3,2,1,1,,,
Aleksandar Kolarov,2010-2011,1. Premier League,Manchester City,24,20,"1,719",1,0,0,0,,,
Aleksandar Kolarov,2011-2012,1. Premier League,Manchester City,12,9,823,2,4,0,0,,,
Aleksandar Kolarov,2012-2013,1. Premier League,Manchester City,20,11,"1,056",1,2,0,0,,,
Aleksandar Kolarov,2013-2014,1. Premier League,Manchester City,30,21,"1,977",1,7,0,0,,,
Aleksandar Kolarov,2014-2015,1. Premier League,Manchester City,21,16,"1,489",2,3,0,0,,,
Aleksandar Kolarov,2015-2016,1. Premier League,Manchester City,29,25,"2,283",3,3,0,0,,,
Aleksandar Kolarov,2016-2017,1. Premier League,Manchester City,29,27,"2,535",1,2,0,0,,,
Aleksandar Kolarov,2017-2018,1. Serie A,Roma,35,34,"3,060",2,6,0,0,2.5,2.5,9.0
Aleksandar Kolarov,2018-2019,1. Serie A,Roma,33,32,"2,906",8,2,3,3,5.0,2.6,6.6
Aleksandar Kolarov,2019-2020,1. Serie A,Roma,32,30,"2,732",7,3,2,2,6.7,3.5,5.1
Aleksandar Kolarov,2020-2021,1. Serie A,Inter,7,4,390,0,1,0,0,0.1,0.1,1.1
Aleksandar Kolarov,2021-2022,1. Serie A,Inter,3,0,42,0,0,0,0,0.0,0.0,0.0
Alessandro Bastoni,2016-2017,1. Serie A,Atalanta,3,1,155,0,0,0,0,,,
Alessandro Bastoni,2017-2018,1. Serie A,Atalanta,4,0,91,0,0,0,0,0.0,0.0,0.1
Alessandro Bastoni,2018-2019,1. Serie A,Parma,24,18,"1,690",1,0,0,0,0.6,0.6,0.4
Alessandro Bastoni,2019-2020,1. Serie A,Inter,25,21,"1,921",2,0,0,0,1.3,1.3,0.7
Alessandro Bastoni,2020-2021,1. Serie A,Inter,33,33,"2,922",0,3,0,0,1.0,1.0,1.5
Alessandro Bastoni,2021-2022,1. Serie A,Inter,31,29,"2,311",1,2,0,0,0.3,0.3,2.0
Alessandro Bastoni,2022-2023,1. Serie A,Inter,29,26,"2,157",0,2,0,0,1.0,1.0,2.7
Alessandro Bastoni,2023-2024,1. Serie A,Inter,28,28,"2,268",1,3,0,0,1.2,1.2,3.4
Alessandro Bastoni,2024-2025,1. Serie A,Inter,12,12,918,0,3,0,0,0.1,0.1,1.5
Alessandro Buongiorno,2016-2017,1. Serie A,Torino,0,0,,,,,,,,
Alessandro Buongiorno,2017-2018,1. Serie A,Torino,1,0,9,0,0,0,0,0.0,0.0,0.0
Alessandro Buongiorno,2018-2019,2. Serie B,Carpi,18,14,"1,203",0,1,0,0,0.6,0.6,0.5
Alessandro Buongiorno,2019-2020,2. Serie B,Trapani,13,12,"1,079",0,0,0,0,0.5,0.5,0.5
Alessandro Buongiorno,2019-2020,1. Serie A,Torino,0,0,,,,,,,,
Alessandro Buongiorno,2020-2021,1. Serie A,Torino,12,9,858,0,0,0,0,0.3,0.3,0.0
Alessandro Buongiorno,2021-2022,1. Serie A,Torino,23,12,"1,181",0,1,0,0,0.9,0.9,0.7
Alessandro Buongiorno,2022-2023,1. Serie A,Torino,34,30,"2,721",1,2,0,0,2.2,2.2,1.3
Alessandro Buongiorno,2023-2024,1. Serie A,Torino,29,29,"2,527",3,0,0,0,1.6,1.6,0.1
Alessandro Buongiorno,2024-2025,1. Serie A,Napoli,13,13,"1,170",1,0,0,0,0.8,0.8,0.6
Alessandro Fiordaliso,2017-2018,1. Serie A,Torino,0,0,,,,,,,,
Alessandro Fiordaliso,,,,,,,,,,,,,
Alessandro Fiordaliso,2019-2020,2. Serie B,Venezia,26,21,"1,904",0,1,0,0,0.3,0.3,1.1
Alessandro Fiordaliso,2020-2021,2. Serie B,Cremonese,20,19,"1,618",0,1,0,0,0.1,0.1,0.4
Alessandro Fiordaliso,2021-2022,2. Serie B,Cremonese,3,2,138,0,0,0,0,0.0,0.0,0.0
Alessandro Fiordaliso,2022-2023,2. Serie B,SPAL,15,3,459,0,0,0,0,0.2,0.2,0.2
Alessandro Florenzi,2010-2011,1. Serie A,Roma,1,0,5,0,0,0,0,,,
Alessandro Florenzi,2011-2012,2. Serie B,Crotone,35,33,"2,868",11,2,0,0,,,
Alessandro Florenzi,2012-2013,1. Serie A,Roma,36,25,"2,145",3,4,0,0,,,
Alessandro Florenzi,2013-2014,1. Serie A,Roma,37,22,"1,893",6,7,0,0,,,
Alessandro Florenzi,2014-2015,1. Serie A,Roma,35,24,"2,298",5,4,1,1,,,
Alessandro Florenzi,2015-2016,1. Serie A,Roma,33,31,"2,719",7,3,0,0,,,
Alessandro Florenzi,2016-2017,1. Serie A,Roma,9,8,747,0,3,0,0,,,
Alessandro Florenzi,2017-2018,1. Serie A,Roma,32,26,"2,387",1,3,0,0,3.8,3.1,4.6
Alessandro Florenzi,2018-2019,1. Serie A,Roma,29,24,"2,180",3,2,0,0,2.2,2.2,4.4
Alessandro Florenzi,2019-2020,1. Serie A,Roma,14,12,997,0,1,0,0,0.5,0.5,1.8
